"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1984,"M",71,"New England","Not too happy","7th grade","white","Retired","Widowed","70 to 71","1982 to 1983"
1984,"M",68,"New England","Pretty happy","7th grade","white","Retired","Married","68 to 69","1982 to 1983"
1984,"M",49,"East North Central","Very happy","8 or more years of college","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"F",58,"East North Central","Pretty happy","1 year of college","white","Working part time","Married","58 to 59","1982 to 1983"
1984,"F",41,"East North Central","Very happy","8 or more years of college","white","Working full time","Married","40 to 41","1982 to 1983"
1984,"M",65,"East North Central","Very happy","3 years of collage","white","Working full time","Married","64 to 65","1982 to 1983"
1984,"M",51,"East North Central","Very happy","4 years of college","white","Working full time","Married","50 to 51","1982 to 1983"
1984,"M",25,"East North Central","Pretty happy","12th grade","Black","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",56,"East North Central","Pretty happy","10th grade","Black","Working part time","Married","56 to 57","1982 to 1983"
1984,"M",65,"East North Central","Pretty happy","8th grade","Black","Working part time","Married","64 to 65","1982 to 1983"
1984,"F",37,"East North Central","Pretty happy","2 years of college","white","Working full time","Divorced","36 to 37","1982 to 1983"
1984,"M",26,"East North Central","Pretty happy","12th grade","white","Working full time","Married","26 to 27","1982 to 1983"
1984,"F",43,"East North Central","Very happy","5 years of college","white","Working full time","Married","42 to 43","1982 to 1983"
1984,"M",23,"East North Central","Pretty happy","4 years of college","white","Working part time","Never married","22 to 23","1982 to 1983"
1984,"F",45,"East North Central","Very happy","2 years of college","white","Working full time","Married","44 to 45","1982 to 1983"
1984,"F",61,"Middle Atlantic","Not too happy","5th grade","Black","Keeping house","Married","60 to 61","1982 to 1983"
1984,"F",57,"Middle Atlantic","Pretty happy","12th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Never married","56 to 57","1982 to 1983"
1984,"M",31,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Never married","30 to 31","1982 to 1983"
1984,"F",63,"Middle Atlantic","Not too happy","5th grade","white","Keeping house","Divorced","62 to 63","1982 to 1983"
1984,"F",45,"Middle Atlantic","Very happy","12th grade","Black","Keeping house","Divorced","44 to 45","1982 to 1983"
1984,"F",31,"Middle Atlantic","Not too happy","2 years of college","Black","Working part time","Never married","30 to 31","1982 to 1983"
1984,"M",22,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","22 to 23","1982 to 1983"
1984,"M",30,"Middle Atlantic","Pretty happy","12th grade","white","Working part time","Divorced","30 to 31","1982 to 1983"
1984,"F",21,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","20 to 21","1982 to 1983"
1984,"F",21,"Middle Atlantic","Pretty happy","2 years of college","white","Working part time","Never married","20 to 21","1982 to 1983"
1984,"M",23,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"M",25,"Middle Atlantic","Very happy","2 years of college","white","Working full time","Married","24 to 25","1982 to 1983"
1984,"F",43,"Middle Atlantic","Pretty happy","1 year of college","white","Working full time","Married","42 to 43","1982 to 1983"
1984,"M",53,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"F",54,"Middle Atlantic","Very happy","8th grade","white","Working part time","Married","54 to 55","1982 to 1983"
1984,"F",26,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","26 to 27","1982 to 1983"
1984,"M",27,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","26 to 27","1982 to 1983"
1984,"F",41,"Middle Atlantic","Very happy","12th grade","white","Working part time","Married","40 to 41","1982 to 1983"
1984,"F",57,"East North Central","Pretty happy","1 year of college","white","Working full time","Sepreated","56 to 57","1982 to 1983"
1984,"F",43,"East North Central","Very happy","4 years of college","Black","Working full time","Never married","42 to 43","1982 to 1983"
1984,"M",35,"East North Central","Not too happy","6 years of college","white","Working full time","Married","34 to 35","1982 to 1983"
1984,"F",31,"East North Central","Pretty happy","4 years of college","Black","Working full time","Married","30 to 31","1982 to 1983"
1984,"M",49,"East North Central","Very happy","1 year of college","Black","Other","Married","48 to 49","1982 to 1983"
1984,"M",37,"East North Central","Pretty happy","2 years of college","Black","Working full time","Married","36 to 37","1982 to 1983"
1984,"M",21,"East North Central","Pretty happy","1 year of college","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",22,"East North Central","Very happy","3 years of collage","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"F",28,"East North Central","Pretty happy","2 years of college","white","Working full time","Never married","28 to 29","1982 to 1983"
1984,"M",30,"East North Central","Pretty happy","2 years of college","Black","Working full time","Divorced","30 to 31","1982 to 1983"
1984,"F",25,"East North Central","Pretty happy","2 years of college","white","Working full time","Married","24 to 25","1982 to 1983"
1984,"M",33,"East North Central","Pretty happy","12th grade","white","Working full time","Divorced","32 to 33","1982 to 1983"
1984,"F",36,"East North Central","Pretty happy","12th grade","white","Working full time","Married","36 to 37","1982 to 1983"
1984,"F",20,"East North Central","Pretty happy","12th grade","Black","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",39,"East North Central","Very happy","12th grade","white","Working full time","Divorced","38 to 39","1982 to 1983"
1984,"M",80,"East North Central","Pretty happy","4th grade","white","Retired","Married","80 to 81","1982 to 1983"
1984,"F",56,"New England","Very happy","12th grade","white","Working full time","Married","56 to 57","1982 to 1983"
1984,"M",51,"New England","Pretty happy","3rd grade","Black","Unemployed, laid off, looking for work","Married","50 to 51","1982 to 1983"
1984,"F",25,"New England","Pretty happy","12th grade","Black","Keeping house","Never married","24 to 25","1982 to 1983"
1984,"F",30,"New England","Pretty happy","11th grade","Black","Working part time","Sepreated","30 to 31","1982 to 1983"
1984,"F",28,"New England","Not too happy","9th grade","Black","Keeping house","Sepreated","28 to 29","1982 to 1983"
1984,"M",19,"New England","Pretty happy","12th grade","Black","Other","Never married","18 to 19","1982 to 1983"
1984,"F",33,"New England","Not too happy","12th grade","Black","Working full time","Never married","32 to 33","1982 to 1983"
1984,"M",21,"New England","Pretty happy","11th grade","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"M",27,"New England","Not too happy","12th grade","white","Working part time","Sepreated","26 to 27","1982 to 1983"
1984,"F",56,"New England","Pretty happy","8th grade","white","Keeping house","Married","56 to 57","1982 to 1983"
1984,"F",27,"New England","Very happy","1 year of college","white","Keeping house","Married","26 to 27","1982 to 1983"
1984,"F",74,"New England","Pretty happy","10th grade","white","Retired","Widowed","74 to 75","1982 to 1983"
1984,"F",42,"New England","Very happy","9th grade","white","Working part time","Married","42 to 43","1982 to 1983"
1984,"M",45,"New England","Not too happy","6th grade","white","Unemployed, laid off, looking for work","Married","44 to 45","1982 to 1983"
1984,"F",22,"New England","Pretty happy","1 year of college","white","Keeping house","Married","22 to 23","1982 to 1983"
1984,"M",40,"New England","Pretty happy","8th grade","white","Other","Married","40 to 41","1982 to 1983"
1984,"F",29,"New England","Pretty happy","2 years of college","white","Working full time","Never married","28 to 29","1982 to 1983"
1984,"M",20,"New England","Pretty happy","10th grade","white","Unemployed, laid off, looking for work","Never married","20 to 21","1982 to 1983"
1984,"F",32,"New England","Very happy","11th grade","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"F",57,"New England","Not too happy","12th grade","white","Working full time","Divorced","56 to 57","1982 to 1983"
1984,"M",55,"New England","Pretty happy","12th grade","white","Working full time","Married","54 to 55","1982 to 1983"
1984,"F",70,"New England","Pretty happy","10th grade","white","Retired","Widowed","70 to 71","1982 to 1983"
1984,"F",76,"New England","Not too happy","1 year of college","white","Retired","Never married","76 to 77","1982 to 1983"
1984,"F",42,"New England","Pretty happy","2 years of college","white","Working part time","Married","42 to 43","1982 to 1983"
1984,"M",21,"New England","Pretty happy","2 years of college","white","Working part time","Never married","20 to 21","1982 to 1983"
1984,"M",63,"New England","Pretty happy","6 years of college","white","Working full time","Never married","62 to 63","1982 to 1983"
1984,"F",36,"New England","Very happy","1 year of college","white","Working part time","Married","36 to 37","1982 to 1983"
1984,"M",53,"New England","Pretty happy","8 or more years of college","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"F",39,"New England","Very happy","2 years of college","white","Working part time","Divorced","38 to 39","1982 to 1983"
1984,"M",57,"New England","Pretty happy","6 years of college","Other","Working full time","Married","56 to 57","1982 to 1983"
1984,"F",46,"New England","Very happy","12th grade","white","Working full time","Married","46 to 47","1982 to 1983"
1984,"F",21,"New England","Pretty happy","1 year of college","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",29,"New England","Very happy","12th grade","white","Keeping house","Married","28 to 29","1982 to 1983"
1984,"M",28,"New England","Pretty happy","4 years of college","white","Working full time","Never married","28 to 29","1982 to 1983"
1984,"M",36,"New England","Pretty happy","2 years of college","white","Working full time","Sepreated","36 to 37","1982 to 1983"
1984,"F",32,"New England","Pretty happy","12th grade","white","Keeping house","Sepreated","32 to 33","1982 to 1983"
1984,"M",34,"New England","Not too happy","9th grade","white","Keeping house","Married","34 to 35","1982 to 1983"
1984,"M",19,"New England","Pretty happy","7th grade","white","Keeping house","Never married","18 to 19","1982 to 1983"
1984,"M",22,"New England","Pretty happy","12th grade","white","Working part time","Never married","22 to 23","1982 to 1983"
1984,"F",29,"New England","Pretty happy","1 year of college","white","Keeping house","Sepreated","28 to 29","1982 to 1983"
1984,"F",44,"New England","Not too happy","10th grade","white","Keeping house","Sepreated","44 to 45","1982 to 1983"
1984,"F",21,"New England","Not too happy","4 years of college","Black","Keeping house","Never married","20 to 21","1982 to 1983"
1984,"F",23,"New England","Not too happy","12th grade","white","In school","Never married","22 to 23","1982 to 1983"
1984,"F",67,"New England","Pretty happy","11th grade","white","Keeping house","Married","66 to 67","1982 to 1983"
1984,"F",38,"New England","Very happy","3 years of collage","white","Working full time","Married","38 to 39","1982 to 1983"
1984,"F",60,"New England","Pretty happy","12th grade","white","Keeping house","Married","60 to 61","1982 to 1983"
1984,"M",55,"New England","Very happy","5 years of college","white","Working full time","Married","54 to 55","1982 to 1983"
1984,"F",24,"New England","Pretty happy","2 years of college","white","Working full time","Married","24 to 25","1982 to 1983"
1984,"F",65,"New England","Pretty happy","12th grade","white","Working part time","Widowed","64 to 65","1982 to 1983"
1984,"F",21,"New England","Pretty happy","12th grade","white","Unemployed, laid off, looking for work","Never married","20 to 21","1982 to 1983"
1984,"F",30,"New England","Pretty happy","1 year of college","white","Working full time","Never married","30 to 31","1982 to 1983"
1984,"F",69,"New England","Not too happy","10th grade","white","Retired","Widowed","68 to 69","1982 to 1983"
1984,"F",26,"New England","Pretty happy","3 years of collage","white","In school","Never married","26 to 27","1982 to 1983"
1984,"F",28,"New England","Pretty happy","12th grade","white","Working part time","Never married","28 to 29","1982 to 1983"
1984,"F",24,"New England","Very happy","2 years of college","white","In school","Widowed","24 to 25","1982 to 1983"
1984,"M",43,"New England","Very happy","12th grade","white","Working full time","Married","42 to 43","1982 to 1983"
1984,"F",47,"New England","Pretty happy","11th grade","white","Working full time","Widowed","46 to 47","1982 to 1983"
1984,"M",61,"New England","Pretty happy","11th grade","white","Working full time","Married","60 to 61","1982 to 1983"
1984,"M",24,"New England","Pretty happy","12th grade","white","Working full time","Married","24 to 25","1982 to 1983"
1984,"M",21,"New England","Very happy","10th grade","white","Unemployed, laid off, looking for work","Never married","20 to 21","1982 to 1983"
1984,"M",37,"New England","Very happy","7 years of college","white","Working full time","Married","36 to 37","1982 to 1983"
1984,"F",56,"New England","Pretty happy","4 years of college","white","Keeping house","Married","56 to 57","1982 to 1983"
1984,"M",48,"New England","Very happy","6 years of college","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"F",81,"New England","Pretty happy","8th grade","white","Retired","Married","80 to 81","1982 to 1983"
1984,"M",52,"New England","Pretty happy","2 years of college","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"F",48,"New England","Pretty happy","12th grade","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"M",76,"New England","Very happy","7th grade","white","Retired","Married","76 to 77","1982 to 1983"
1984,"M",56,"New England","Very happy","3 years of collage","white","Working full time","Divorced","56 to 57","1982 to 1983"
1984,"F",48,"New England","Pretty happy","9th grade","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"F",49,"New England","Pretty happy","12th grade","white","Working part time","Married","48 to 49","1982 to 1983"
1984,"F",37,"New England","Very happy","12th grade","white","Working part time","Married","36 to 37","1982 to 1983"
1984,"M",33,"New England","Not too happy","12th grade","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"M",35,"New England","Pretty happy","8 or more years of college","white","Working full time","Married","34 to 35","1982 to 1983"
1984,"M",22,"New England","Pretty happy","12th grade","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"F",62,"New England","Pretty happy","No formal schooling","white","Retired","Widowed","62 to 63","1982 to 1983"
1984,"F",70,"New England","Not too happy","2 years of college","white","Retired","Widowed","70 to 71","1982 to 1983"
1984,"F",39,"New England","Not too happy","11th grade","Black","Working part time","Widowed","38 to 39","1982 to 1983"
1984,"F",35,"New England","Not too happy","2nd grade","Other","Keeping house","Married","34 to 35","1982 to 1983"
1984,"F",41,"New England","Very happy","12th grade","white","Keeping house","Sepreated","40 to 41","1982 to 1983"
1984,"F",63,"New England","Very happy","12th grade","white","Working full time","Married","62 to 63","1982 to 1983"
1984,"F",22,"New England","Very happy","3 years of collage","white","In school","Never married","22 to 23","1982 to 1983"
1984,"F",69,"New England","Pretty happy","12th grade","white","Retired","Widowed","68 to 69","1982 to 1983"
1984,"F",67,"New England","Pretty happy","11th grade","white","Retired","Married","66 to 67","1982 to 1983"
1984,"M",71,"New England","Not too happy","8th grade","white","Working part time","Widowed","70 to 71","1982 to 1983"
1984,"M",29,"New England","Pretty happy","10th grade","white","Working full time","Married","28 to 29","1982 to 1983"
1984,"F",30,"New England","Pretty happy","3 years of collage","white","Keeping house","Married","30 to 31","1982 to 1983"
1984,"M",39,"New England","Very happy","2 years of college","white","Working part time","Married","38 to 39","1982 to 1983"
1984,"F",24,"New England","Pretty happy","12th grade","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",47,"New England","Pretty happy","12th grade","white","Working full time","Widowed","46 to 47","1982 to 1983"
1984,"M",23,"New England","Pretty happy","4 years of college","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"M",24,"New England","Very happy","4 years of college","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",76,"New England","Very happy","12th grade","white","Working part time","Divorced","76 to 77","1982 to 1983"
1984,"F",24,"New England","Pretty happy","1 year of college","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",30,"New England","Pretty happy","12th grade","Black","Keeping house","Never married","30 to 31","1982 to 1983"
1984,"M",23,"New England","Very happy","12th grade","Black","Working full time","Never married","22 to 23","1982 to 1983"
1984,"F",52,"New England","Pretty happy","11th grade","Black","Keeping house","Widowed","52 to 53","1982 to 1983"
1984,"F",65,"New England","Very happy","3 years of collage","white","Keeping house","Married","64 to 65","1982 to 1983"
1984,"M",54,"New England","Pretty happy","12th grade","white","Working full time","Married","54 to 55","1982 to 1983"
1984,"F",28,"New England","Pretty happy","12th grade","white","Keeping house","Married","28 to 29","1982 to 1983"
1984,"F",37,"New England","Very happy","12th grade","white","Working full time","Divorced","36 to 37","1982 to 1983"
1984,"F",48,"New England","Very happy","10th grade","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"M",74,"New England","Pretty happy","8th grade","white","Retired","Never married","74 to 75","1982 to 1983"
1984,"F",28,"New England","Very happy","12th grade","white","Keeping house","Married","28 to 29","1982 to 1983"
1984,"F",24,"New England","Very happy","12th grade","white","Working part time","Married","24 to 25","1982 to 1983"
1984,"M",44,"New England","Very happy","12th grade","white","Working full time","Married","44 to 45","1982 to 1983"
1984,"F",26,"New England","Pretty happy","4 years of college","white","Keeping house","Married","26 to 27","1982 to 1983"
1984,"F",58,"New England","Pretty happy","12th grade","white","Working full time","Married","58 to 59","1982 to 1983"
1984,"F",38,"New England","Pretty happy","12th grade","white","Keeping house","Married","38 to 39","1982 to 1983"
1984,"M",50,"New England","Very happy","4 years of college","white","Working full time","Married","50 to 51","1982 to 1983"
1984,"F",43,"New England","Very happy","4 years of college","white","Working part time","Married","42 to 43","1982 to 1983"
1984,"M",19,"New England","Pretty happy","10th grade","white","In school","Never married","18 to 19","1982 to 1983"
1984,"M",67,"New England","Pretty happy","8th grade","white","Retired","Widowed","66 to 67","1982 to 1983"
1984,"F",30,"New England","Pretty happy","4 years of college","white","Working full time","Never married","30 to 31","1982 to 1983"
1984,"F",46,"New England","Pretty happy","12th grade","white","Working full time","Widowed","46 to 47","1982 to 1983"
1984,"M",19,"Middle Atlantic","Pretty happy","12th grade","white","Working part time","Never married","18 to 19","1982 to 1983"
1984,"F",21,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",37,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","36 to 37","1982 to 1983"
1984,"M",46,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","46 to 47","1982 to 1983"
1984,"F",40,"Middle Atlantic","Pretty happy","12th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Married","40 to 41","1982 to 1983"
1984,"M",61,"Middle Atlantic","Very happy","6th grade","white","Working full time","Married","60 to 61","1982 to 1983"
1984,"M",25,"Middle Atlantic","Pretty happy","3 years of collage","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",23,"Middle Atlantic","Pretty happy","1 year of college","white","In school","Never married","22 to 23","1982 to 1983"
1984,"M",50,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","50 to 51","1982 to 1983"
1984,"M",61,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Married","60 to 61","1982 to 1983"
1984,"F",48,"Middle Atlantic","Very happy","10th grade","white","Keeping house","Married","48 to 49","1982 to 1983"
1984,"M",45,"Middle Atlantic","Pretty happy","2 years of college","white","Working full time","Married","44 to 45","1982 to 1983"
1984,"M",28,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Married","28 to 29","1982 to 1983"
1984,"F",69,"Middle Atlantic","Very happy","4 years of college","white","Retired","Divorced","68 to 69","1982 to 1983"
1984,"F",36,"Middle Atlantic","Not too happy","12th grade","white","Keeping house","Married","36 to 37","1982 to 1983"
1984,"F",45,"Middle Atlantic","Very happy","6 years of college","white","Working full time","Married","44 to 45","1982 to 1983"
1984,"F",39,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Divorced","38 to 39","1982 to 1983"
1984,"F",23,"Middle Atlantic","Not too happy","1 year of college","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"F",24,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","24 to 25","1982 to 1983"
1984,"F",44,"Middle Atlantic","Very happy","12th grade","white","Working part time","Married","44 to 45","1982 to 1983"
1984,"F",35,"Middle Atlantic","Very happy","2 years of college","white","Working full time","Married","34 to 35","1982 to 1983"
1984,"M",53,"Middle Atlantic","Not too happy","5th grade","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"M",38,"Middle Atlantic","Very happy","4 years of college","white","Working part time","Married","38 to 39","1982 to 1983"
1984,"F",49,"Middle Atlantic","Pretty happy","10th grade","white","Working full time","Divorced","48 to 49","1982 to 1983"
1984,"M",62,"Middle Atlantic","Very happy","12th grade","white","Retired","Married","62 to 63","1982 to 1983"
1984,"M",58,"Middle Atlantic","Not too happy","5th grade","Black","Retired","Widowed","58 to 59","1982 to 1983"
1984,"F",28,"Middle Atlantic","Pretty happy","11th grade","Black","Keeping house","Married","28 to 29","1982 to 1983"
1984,"F",77,"Middle Atlantic","Very happy","8th grade","white","Keeping house","Widowed","76 to 77","1982 to 1983"
1984,"F",39,"Middle Atlantic","Not too happy","12th grade","Black","Keeping house","Sepreated","38 to 39","1982 to 1983"
1984,"F",47,"Middle Atlantic","Pretty happy","11th grade","Black","Working full time","Married","46 to 47","1982 to 1983"
1984,"F",32,"Middle Atlantic","Pretty happy","3 years of collage","white","Working part time","Married","32 to 33","1982 to 1983"
1984,"M",32,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"F",60,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Married","60 to 61","1982 to 1983"
1984,"M",25,"Middle Atlantic","Pretty happy","1 year of college","white","Working part time","Married","24 to 25","1982 to 1983"
1984,"F",35,"Middle Atlantic","Pretty happy","7 years of college","white","Working full time","Never married","34 to 35","1982 to 1983"
1984,"F",74,"Middle Atlantic","Pretty happy","8th grade","white","Keeping house","Married","74 to 75","1982 to 1983"
1984,"M",31,"Middle Atlantic","Not too happy","11th grade","white","Unemployed, laid off, looking for work","Married","30 to 31","1982 to 1983"
1984,"M",34,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Married","34 to 35","1982 to 1983"
1984,"M",78,"Middle Atlantic","Pretty happy","3 years of collage","white","Retired","Married","78 to 79","1982 to 1983"
1984,"F",52,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"M",32,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"M",48,"Middle Atlantic","Pretty happy","2 years of college","white","Working full time","Married","48 to 49","1982 to 1983"
1984,"M",22,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","22 to 23","1982 to 1983"
1984,"M",33,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"F",76,"Middle Atlantic","Pretty happy","11th grade","white","Keeping house","Widowed","76 to 77","1982 to 1983"
1984,"F",80,"Middle Atlantic","Pretty happy","10th grade","white","Keeping house","Widowed","80 to 81","1982 to 1983"
1984,"F",88,"Middle Atlantic","Not too happy","9th grade","white","Keeping house","Widowed","88 to 89","1982 to 1983"
1984,"M",19,"Middle Atlantic","Very happy","11th grade","white","In school","Never married","18 to 19","1982 to 1983"
1984,"M",37,"Middle Atlantic","Pretty happy","10th grade","white","Retired","Married","36 to 37","1982 to 1983"
1984,"M",35,"Middle Atlantic","Pretty happy","4 years of college","Black","Working full time","Divorced","34 to 35","1982 to 1983"
1984,"F",64,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","64 to 65","1982 to 1983"
1984,"F",72,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Widowed","72 to 73","1982 to 1983"
1984,"F",47,"Middle Atlantic","Very happy","2 years of college","white","Working full time","Married","46 to 47","1982 to 1983"
1984,"F",49,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","48 to 49","1982 to 1983"
1984,"F",78,"Middle Atlantic","Very happy","8th grade","white","Keeping house","Married","78 to 79","1982 to 1983"
1984,"F",61,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Married","60 to 61","1982 to 1983"
1984,"F",76,"Middle Atlantic","Pretty happy","6th grade","white","Keeping house","Widowed","76 to 77","1982 to 1983"
1984,"F",67,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Never married","66 to 67","1982 to 1983"
1984,"F",83,"Middle Atlantic","Very happy","10th grade","white","Keeping house","Widowed","82 to 83","1982 to 1983"
1984,"F",21,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","20 to 21","1982 to 1983"
1984,"F",68,"Middle Atlantic","Very happy","12th grade","white","Retired","Widowed","68 to 69","1982 to 1983"
1984,"M",25,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"M",65,"Middle Atlantic","Pretty happy","8th grade","white","Retired","Never married","64 to 65","1982 to 1983"
1984,"F",47,"Middle Atlantic","Not too happy","11th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Divorced","46 to 47","1982 to 1983"
1984,"M",27,"Middle Atlantic","Pretty happy","2 years of college","white","In school","Married","26 to 27","1982 to 1983"
1984,"M",37,"Middle Atlantic","Not too happy","11th grade","white","Unemployed, laid off, looking for work","Divorced","36 to 37","1982 to 1983"
1984,"M",64,"Middle Atlantic","Pretty happy","7th grade","white","Retired","Married","64 to 65","1982 to 1983"
1984,"M",38,"Middle Atlantic","Very happy","5 years of college","white","Working full time","Divorced","38 to 39","1982 to 1983"
1984,"M",44,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","44 to 45","1982 to 1983"
1984,"M",23,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","22 to 23","1982 to 1983"
1984,"F",35,"Middle Atlantic","Pretty happy","12th grade","white","Unemployed, laid off, looking for work","Never married","34 to 35","1982 to 1983"
1984,"M",52,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","52 to 53","1982 to 1983"
1984,"M",38,"Middle Atlantic","Pretty happy","2 years of college","Black","Working full time","Married","38 to 39","1982 to 1983"
1984,"F",21,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Divorced","20 to 21","1982 to 1983"
1984,"F",29,"Middle Atlantic","Very happy","10th grade","white","Working full time","Married","28 to 29","1982 to 1983"
1984,"M",19,"Middle Atlantic","Very happy","12th grade","white","Working full time","Never married","18 to 19","1982 to 1983"
1984,"M",32,"Middle Atlantic","Very happy","4 years of college","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"F",66,"Middle Atlantic","Pretty happy","10th grade","white","Retired","Married","66 to 67","1982 to 1983"
1984,"F",24,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","24 to 25","1982 to 1983"
1984,"M",20,"Middle Atlantic","Pretty happy","1 year of college","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",75,"Middle Atlantic","Pretty happy","1 year of college","white","Retired","Married","74 to 75","1982 to 1983"
1984,"F",25,"Middle Atlantic","Very happy","4 years of college","white","Working part time","Married","24 to 25","1982 to 1983"
1984,"F",58,"Middle Atlantic","Not too happy","10th grade","white","Unemployed, laid off, looking for work","Divorced","58 to 59","1982 to 1983"
1984,"F",35,"Middle Atlantic","Very happy","4 years of college","white","With a job, but not at work because of temporary illness, vacation, strike","Married","34 to 35","1982 to 1983"
1984,"F",32,"Middle Atlantic","Very happy","1 year of college","white","Working full time","Married","32 to 33","1982 to 1983"
1984,"F",40,"Middle Atlantic","Pretty happy","7 years of college","white","Working full time","Divorced","40 to 41","1982 to 1983"
1984,"F",24,"Middle Atlantic","Pretty happy","4 years of college","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",60,"Middle Atlantic","Pretty happy","2 years of college","white","Working part time","Widowed","60 to 61","1982 to 1983"
1984,"F",24,"Middle Atlantic","Not too happy","4 years of college","white","Working full time","Never married","24 to 25","1982 to 1983"
1984,"F",24,"Middle Atlantic","Pretty happy","10th grade","white","Other","Married","24 to 25","1982 to 1983"
1984,"M",23,"Middle Atlantic","Not too happy","12th grade","white","Working full time","Married","22 to 23","1982 to 1983"
1984,"F",56,"Middle Atlantic","Very happy","5th grade","white","Keeping house","Married","56 to 57","1982 to 1983"
1984,"M",29,"Middle Atlantic","Pretty happy","3 years of collage","white","Working full time","Divorced","28 to 29","1982 to 1983"
1984,"M",20,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Never married","20 to 21","1982 to 1983"
1984,"F",89,"Middle Atlantic","Very happy","9th grade","Black","Keeping house","Widowed","88 to 89","1982 to 1983"
1984,"F",23,"Middle Atlantic","Not too happy","12th grade","Black","Working part time","Never married","22 to 23","1982 to 1983"
1984,"F",70,"Middle Atlantic","Very happy","12th grade","Black","Keeping house","Widowed","70 to 71","1982 to 1983"
1984,"F",24,"Middle Atlantic","Not too happy","7th grade","white","Keeping house","Married","24 to 25","1982 to 1983"
1984,"M",42,"Middle Atlantic","Very happy","10th grade","Black","Working part time","Married","42 to 43","1982 to 1983"
