"year","sex","age","region","happiness","educ","race","work","marital","age_ranges","year_ranges"
1972,"F",37,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Married","36 to 37","1972 to 1973"
1972,"F",57,"Middle Atlantic","Very happy","11th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Married","56 to 57","1972 to 1973"
1972,"M",39,"Middle Atlantic","Very happy","12th grade","white","Unemployed, laid off, looking for work","Married","38 to 39","1972 to 1973"
1972,"F",62,"Middle Atlantic","Pretty happy","9th grade","white","Keeping house","Married","62 to 63","1972 to 1973"
1972,"M",51,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","50 to 51","1972 to 1973"
1972,"M",43,"Middle Atlantic","Pretty happy","11th grade","white","Working full time","Married","42 to 43","1972 to 1973"
1972,"M",39,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","38 to 39","1972 to 1973"
1972,"F",52,"Middle Atlantic","Pretty happy","8th grade","white","Keeping house","Married","52 to 53","1972 to 1973"
1972,"M",30,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","30 to 31","1972 to 1973"
1972,"F",47,"Middle Atlantic","Very happy","12th grade","white","Working part time","Married","46 to 47","1972 to 1973"
1972,"F",31,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","30 to 31","1972 to 1973"
1972,"M",25,"Middle Atlantic","Pretty happy","4 years of college","white","Unemployed, laid off, looking for work","Married","24 to 25","1972 to 1973"
1972,"M",45,"Middle Atlantic","Pretty happy","7th grade","white","Working full time","Married","44 to 45","1972 to 1973"
1972,"F",30,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","30 to 31","1972 to 1973"
1972,"M",68,"Middle Atlantic","Pretty happy","8th grade","white","Retired","Married","68 to 69","1972 to 1973"
1972,"F",63,"Middle Atlantic","Not too happy","11th grade","white","Keeping house","Married","62 to 63","1972 to 1973"
1972,"M",19,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","18 to 19","1972 to 1973"
1972,"M",23,"Middle Atlantic","Pretty happy","4 years of college","white","Working part time","Never married","22 to 23","1972 to 1973"
1972,"F",46,"Middle Atlantic","Pretty happy","10th grade","white","Keeping house","Married","46 to 47","1972 to 1973"
1972,"F",55,"Middle Atlantic","Not too happy","8th grade","white","Keeping house","Widowed","54 to 55","1972 to 1973"
1972,"M",22,"Middle Atlantic","Very happy","2 years of college","white","Working full time","Never married","22 to 23","1972 to 1973"
1972,"F",55,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Never married","54 to 55","1972 to 1973"
1972,"M",44,"Middle Atlantic","Pretty happy","7th grade","white","Working full time","Married","44 to 45","1972 to 1973"
1972,"F",41,"Middle Atlantic","Pretty happy","12th grade","white","Working part time","Married","40 to 41","1972 to 1973"
1972,"M",49,"Middle Atlantic","Very happy","3 years of collage","white","Working full time","Divorced","48 to 49","1972 to 1973"
1972,"F",28,"Middle Atlantic","Very happy","3 years of collage","white","Keeping house","Married","28 to 29","1972 to 1973"
1972,"M",21,"Middle Atlantic","Pretty happy","2 years of college","white","In school","Never married","20 to 21","1972 to 1973"
1972,"M",26,"Middle Atlantic","Very happy","5 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",31,"Middle Atlantic","Pretty happy","8 or more years of college","white","Working full time","Married","30 to 31","1972 to 1973"
1972,"F",28,"Middle Atlantic","Pretty happy","6 years of college","white","Working part time","Never married","28 to 29","1972 to 1973"
1972,"M",26,"Middle Atlantic","Very happy","5 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",20,"Middle Atlantic","Pretty happy","2 years of college","Black","Working full time","Never married","20 to 21","1972 to 1973"
1972,"M",25,"Middle Atlantic","Very happy","4 years of college","white","Unemployed, laid off, looking for work","Married","24 to 25","1972 to 1973"
1972,"F",57,"New England","Pretty happy","12th grade","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"F",58,"New England","Pretty happy","1 year of college","white","Keeping house","Married","58 to 59","1972 to 1973"
1972,"M",54,"New England","Very happy","2 years of college","white","Working full time","Married","54 to 55","1972 to 1973"
1972,"F",35,"New England","Very happy","4 years of college","white","Keeping house","Married","34 to 35","1972 to 1973"
1972,"M",40,"New England","Very happy","2 years of college","white","Working full time","Married","40 to 41","1972 to 1973"
1972,"M",57,"New England","Very happy","3 years of collage","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"F",64,"New England","Very happy","4 years of college","white","Keeping house","Married","64 to 65","1972 to 1973"
1972,"M",34,"New England","Very happy","3 years of collage","white","Working full time","Married","34 to 35","1972 to 1973"
1972,"F",25,"Middle Atlantic","Pretty happy","12th grade","white","Keeping house","Married","24 to 25","1972 to 1973"
1972,"M",28,"Middle Atlantic","Very happy","9th grade","white","Working full time","Married","28 to 29","1972 to 1973"
1972,"M",41,"Middle Atlantic","Pretty happy","1 year of college","white","Working full time","Married","40 to 41","1972 to 1973"
1972,"F",36,"Middle Atlantic","Very happy","12th grade","white","Keeping house","Married","36 to 37","1972 to 1973"
1972,"M",31,"Middle Atlantic","Very happy","3 years of collage","white","Working full time","Married","30 to 31","1972 to 1973"
1972,"M",45,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","44 to 45","1972 to 1973"
1972,"F",74,"Middle Atlantic","Pretty happy","8th grade","white","Keeping house","Married","74 to 75","1972 to 1973"
1972,"F",64,"West North Central","Pretty happy","12th grade","white","Working full time","Divorced","64 to 65","1972 to 1973"
1972,"F",23,"West North Central","Pretty happy","1 year of college","white","Working part time","Never married","22 to 23","1972 to 1973"
1972,"F",27,"West North Central","Very happy","4 years of college","white","Unemployed, laid off, looking for work","Divorced","26 to 27","1972 to 1973"
1972,"M",42,"West North Central","Not too happy","1 year of college","white","Other","Divorced","42 to 43","1972 to 1973"
1972,"M",47,"West North Central","Not too happy","3rd grade","Black","Working full time","Divorced","46 to 47","1972 to 1973"
1972,"M",26,"West North Central","Pretty happy","12th grade","Black","Unemployed, laid off, looking for work","Never married","26 to 27","1972 to 1973"
1972,"F",34,"West North Central","Pretty happy","10th grade","white","Keeping house","Married","34 to 35","1972 to 1973"
1972,"M",52,"West North Central","Pretty happy","2 years of college","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",24,"West North Central","Pretty happy","12th grade","white","With a job, but not at work because of temporary illness, vacation, strike","Divorced","24 to 25","1972 to 1973"
1972,"F",36,"West North Central","Pretty happy","2 years of college","white","Keeping house","Sepreated","36 to 37","1972 to 1973"
1972,"M",25,"Middle Atlantic","Pretty happy","8th grade","Black","Unemployed, laid off, looking for work","Married","24 to 25","1972 to 1973"
1972,"F",46,"Middle Atlantic","Not too happy","11th grade","Black","Keeping house","Sepreated","46 to 47","1972 to 1973"
1972,"F",54,"Middle Atlantic","Pretty happy","2nd grade","Black","Keeping house","Married","54 to 55","1972 to 1973"
1972,"F",27,"Middle Atlantic","Pretty happy","12th grade","Black","Keeping house","Sepreated","26 to 27","1972 to 1973"
1972,"F",20,"Middle Atlantic","Pretty happy","12th grade","Black","Keeping house","Never married","20 to 21","1972 to 1973"
1972,"M",53,"Middle Atlantic","Very happy","6th grade","Black","Working full time","Married","52 to 53","1972 to 1973"
1972,"M",47,"Middle Atlantic","Not too happy","3rd grade","Black","With a job, but not at work because of temporary illness, vacation, strike","Married","46 to 47","1972 to 1973"
1972,"M",70,"Middle Atlantic","Very happy","8th grade","Black","Retired","Widowed","70 to 71","1972 to 1973"
1972,"F",69,"Middle Atlantic","Very happy","8th grade","white","Keeping house","Married","68 to 69","1972 to 1973"
1972,"F",49,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","48 to 49","1972 to 1973"
1972,"F",29,"Middle Atlantic","Pretty happy","4 years of college","white","Working part time","Married","28 to 29","1972 to 1973"
1972,"F",48,"Middle Atlantic","Not too happy","12th grade","white","Keeping house","Married","48 to 49","1972 to 1973"
1972,"F",67,"Middle Atlantic","Pretty happy","9th grade","white","Retired","Married","66 to 67","1972 to 1973"
1972,"M",22,"Middle Atlantic","Not too happy","12th grade","white","In school","Divorced","22 to 23","1972 to 1973"
1972,"M",75,"Middle Atlantic","Not too happy","6th grade","white","Retired","Married","74 to 75","1972 to 1973"
1972,"M",38,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","38 to 39","1972 to 1973"
1972,"M",46,"Middle Atlantic","Pretty happy","3 years of collage","white","Working full time","Married","46 to 47","1972 to 1973"
1972,"F",63,"East North Central","Very happy","8th grade","white","Keeping house","Married","62 to 63","1972 to 1973"
1972,"F",34,"East North Central","Pretty happy","11th grade","white","Keeping house","Married","34 to 35","1972 to 1973"
1972,"M",57,"East North Central","Pretty happy","4th grade","white","Working full time","Married","56 to 57","1972 to 1973"
1972,"F",22,"East North Central","Pretty happy","1 year of college","white","Working full time","Never married","22 to 23","1972 to 1973"
1972,"M",46,"East North Central","Very happy","8th grade","white","Working full time","Married","46 to 47","1972 to 1973"
1972,"F",73,"East North Central","Pretty happy","11th grade","white","Keeping house","Married","72 to 73","1972 to 1973"
1972,"M",73,"East North Central","Pretty happy","12th grade","white","Retired","Married","72 to 73","1972 to 1973"
1972,"M",53,"East North Central","Pretty happy","12th grade","white","Working full time","Married","52 to 53","1972 to 1973"
1972,"F",84,"East North Central","Pretty happy","12th grade","white","Keeping house","Widowed","84 to 85","1972 to 1973"
1972,"M",27,"East North Central","Not too happy","2 years of college","white","Working full time","Married","26 to 27","1972 to 1973"
1972,"F",69,"East North Central","Pretty happy","10th grade","white","Retired","Divorced","68 to 69","1972 to 1973"
1972,"F",82,"East North Central","Pretty happy","5th grade","white","Keeping house","Widowed","82 to 83","1972 to 1973"
1972,"F",67,"East North Central","Pretty happy","4 years of college","white","Retired","Never married","66 to 67","1972 to 1973"
1972,"M",41,"East North Central","Pretty happy","12th grade","white","Working full time","Married","40 to 41","1972 to 1973"
1972,"M",72,"East North Central","Pretty happy","2nd grade","white","With a job, but not at work because of temporary illness, vacation, strike","Divorced","72 to 73","1972 to 1973"
1972,"M",38,"Middle Atlantic","Pretty happy","10th grade","white","Working full time","Married","38 to 39","1972 to 1973"
1972,"F",59,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","58 to 59","1972 to 1973"
1972,"M",42,"Middle Atlantic","Very happy","12th grade","white","Working full time","Married","42 to 43","1972 to 1973"
1972,"M",48,"Middle Atlantic","Pretty happy","12th grade","white","Working full time","Married","48 to 49","1972 to 1973"
